DESCRICAO                                     GAMA   UN |     MAT  D%  +DESP  +MARG  =MAT.C |     MO  +DERR  +LUCR   =MO.C |    FINAL
Placa de gesso cartonado hidro 13mm 2600      base   m2 |    3.89  8%   0.31   1.47    5.67 |  10.00   1.50   4.02   15.52 |    21.20
Placa de gesso cartonado fire 15mm 2500 G    media   m2 |    4.49  8%   0.36   1.70    6.55 |  10.00   1.50   4.02   15.52 |    22.07
Placa de gesso cartonado Hidro 13mm 2000     media   m2 |    4.59  8%   0.37   1.74    6.69 |  10.00   1.50   4.02   15.52 |    22.22
Placa de gesso cartonado fire 15mm 2500 P    media   m2 |    5.69  8%   0.46   2.15    8.30 |  10.00   1.50   4.02   15.52 |    23.82
Placa gesso cartonado standard 12.5mm        media   m2 |    5.80  8%   0.46   2.19    8.46 |  10.00   1.50   4.02   15.52 |    23.98
Placa gesso cartonado fogo 15mm            premium   m2 |    9.50  8%   0.76   3.59   13.85 |  10.00   1.50   4.02   15.52 |    29.38

Placa Gesso Cartonado Knauf Hidrófuga H1         -   m2 |    4.17  8%   0.33   1.58    6.08 |  10.00   1.50   4.02   15.52 |    21.60
Placa Gesso Cartonado Hidrofugada Resiste        -   un |    7.70  8%   0.62   2.91   11.23 |  10.00   1.50   4.02   15.52 |    26.75
Placa gesso cartonado hidrófuga 12.5mm           -   m2 |    8.20  8%   0.66   3.10   11.96 |  10.00   1.50   4.02   15.52 |    27.48

Tela Betuminosa Asfáltica APP Impermeabil        -   m2 |    3.41  5%   0.17   1.25    4.83 |  14.00   2.10   5.63   21.73 |    26.57
Tela Betuminosa Asfáltica Impermeabilizaç        -   m2 |    4.79  5%   0.24   1.76    6.79 |  14.00   2.10   5.63   21.73 |    28.52
Tela Betuminosa Asfáltica Impermeabilizaç        -   m2 |    5.48  5%   0.27   2.01    7.77 |  14.00   2.10   5.63   21.73 |    29.50
Tela asfáltica betuminosa 4mm                    -   m2 |    8.50  5%   0.43   3.12   12.05 |  14.00   2.10   5.63   21.73 |    33.78
Tela asfáltica SBS 3kg/m2 AXTON                  -   m2 |   16.99  5%   0.85   6.24   24.08 |  14.00   2.10   5.63   21.73 |    45.82

Impermeabilização líquida poliuretano            -   m2 |   12.00  5%   0.60   4.41   17.01 |  10.00   1.50   4.02   15.52 |    32.53
Impermeabilizante líquido AXTON 5kg              - embalagem |   14.50  5%   0.73   5.33   20.55 |  10.00   1.50   4.02   15.52 |    36.08
Impermeabilizante liquido para WCs e zona        -   kg |   15.00  5%   0.75   5.51   21.26 |  10.00   1.50   4.02   15.52 |    36.79
Membrana Elástica Impermeabilização Reves        -   un |   32.89  5%   1.64  12.09   46.62 |  10.00   1.50   4.02   15.52 |    62.15
Membrana Líquida Elástica Secagem Rápida         -   un |   66.90  5%   3.35  24.59   94.83 |  10.00   1.50   4.02   15.52 |   110.36
Membrana betuminosa ASFALDAN ALU EXTRA 25        -   un |   69.00  5%   3.45  25.36   97.81 |  10.00   1.50   4.02   15.52 |   113.33

Isolamento acustico la mineral 50mm (pare        -   m2 |    5.50  5%   0.28   2.02    7.80 |   4.00   0.60   1.61    6.21 |    14.01

Isolamento la rocha 100mm cobertura              -   m2 |    9.50  5%   0.48   3.49   13.47 |   5.00   0.75   2.01    7.76 |    21.23
Lã mineral rocha 150mm (cobertura)         premium   m2 |   13.50  5%   0.68   4.96   19.14 |   5.00   0.75   2.01    7.76 |    26.90

Poliestireno expandido EPS 40mm                  -   m2 |    4.50  5%   0.23   1.65    6.38 |  25.00   3.75  10.06   38.81 |    45.19
Poliestireno expandido EPS 60mm                  -   m2 |    6.50  5%   0.33   2.39    9.21 |  25.00   3.75  10.06   38.81 |    48.03
Lã Mineral Volcalis Alpha 50mm (Vol. Conf     base   m2 |    4.20  5%   0.21   1.54    5.95 |   4.00   0.60   1.61    6.21 |    12.16
Lã mineral rocha 50mm (parede)                base   m2 |    5.50  5%   0.28   2.02    7.80 |   4.00   0.60   1.61    6.21 |    14.01
Lã mineral rocha 80mm (parede)               media   m2 |    7.80  5%   0.39   2.87   11.06 |   4.00   0.60   1.61    6.21 |    17.27
Lã mineral rocha 100mm (cobertura)         premium   m2 |    9.50  5%   0.48   3.49   13.47 |   4.00   0.60   1.61    6.21 |    19.68

Janela PVC Cortizo - standard (base para      base   m2 |  350.00  0%   0.00  35.00  385.00 |   0.00   0.00   0.00    0.00 |   385.00

LAVATORIO POUSAR                              base   un |  180.00  0%   0.00  63.00  243.00 |  60.00   9.00  24.15   93.15 |   336.15
LAVATORIO SUSPENSO                           media   un |  280.00  0%   0.00  98.00  378.00 |  60.00   9.00  24.15   93.15 |   471.15
Lavatório de pousar design premium         premium   un |  380.00  0%   0.00 133.00  513.00 |  60.00   9.00  24.15   93.15 |   606.15

Malha electrosoldada 150x150x3mm-2.4x25m(     base   m2 |    4.28  5%   0.21   1.57    6.07 |   6.00   0.90   2.42    9.32 |    15.38
Malha electrosoldada 150x150x3mm-1.2x50m(     base   m2 |    4.28  5%   0.21   1.57    6.07 |   6.00   0.90   2.42    9.32 |    15.38
Malha electrossoldada AQ50                    base   m2 |    4.50  5%   0.23   1.65    6.38 |   6.00   0.90   2.42    9.32 |    15.69
Malha electrosoldada 150x150x3mm-2.4x50m(     base   m2 |    8.61  5%   0.43   3.16   12.20 |   6.00   0.90   2.42    9.32 |    21.52

MOVEIS COZINHA BASICO                         base   ml |  250.00  0%   0.00  87.50  337.50 |  80.00  12.00  32.20  124.20 |   461.70
MOVEIS COZINHA MEDIO                         media   ml |  400.00  0%   0.00 140.00  540.00 |  80.00  12.00  32.20  124.20 |   664.20
