Motivo,Fonte,Validação,Páginas
Não encontrado (404),Site,Não foi iniciado,1
"Detectada, mas não indexada no momento",Sistemas do Google,Não foi iniciado,11
"Rastreada, mas não indexada no momento",Sistemas do Google,Não foi iniciado,1
